"id"|"first_name"|"last_name"|"address_1"|"suburb"|"state"|"postcode"|"policy_type"|"claim_date"|"claim_amount"
10001|"Theodore"|"Rhodes"|"306-2589 Aliquam Avenue"|"Toowoomba"|"QLD"|4350|"breakage"|"06/15/2015"|$37,001.68
10013|"Rahim"|"Nixon"|"P.O. Box 930, 8698 Posuere Avenue"|"Sydney"|"NSW"|1001|"flood"|"01/15/2016"|$37,176.98
10025|"Rigel"|"Garcia"|"Ap #274-4429 Tempus Av."|"Parramatta"|"NSW"|1740|"breakage"|03/01/16|$37,672.58
10037|"Zachary"|"Bullock"|"Ap #993-6646 Nec Rd."|"Whyalla"|"SA"|5600|"flood"|"09/23/2015"|$2,388.92
10049|"Dolan"|"Humphrey"|"524-6622 Magna Rd."|"Bairnsdale"|"VIC"|3875|"flood"|"08/27/2015"|$26,885.28
10061|"Thor"|"Mcgee"|"P.O. Box 105, 5456 Molestie St."|"Bundaberg"|"QLD"|4670|"fire"|"08/21/2015"|$40,014.99
10073|"Lionel"|"Booker"|"367-9141 Dignissim Av."|"Cessnock"|"NSW"|2325|"breakage"|"02/22/2016"|$31,969.17
10085|"Amos"|"Cameron"|"2160 Orci. Ave"|"Whyalla"|"SA"|5600|"hail"|04/02/15|$17,153.63
10097|"Deacon"|"Hodges"|"1348 Enim, Rd."|"Campbelltown"|"NSW"|2560|"mud"|"10/14/2014"|$42,757.89
10109|"Kelly"|"Hendrix"|"682-5905 Sem Road"|"Melbourne"|"VIC"|3000|"mud"|"07/28/2014"|$14,856.96
10121|"Merrill"|"Ellis"|"961 Lectus. Avenue"|"Lithgow"|"NSW"|2790|"flood"|10/01/15|$15,586.47
10133|"Alan"|"Mack"|"571-4924 Convallis Ave"|"Toowoomba"|"QLD"|4350|"flood"|05/02/15|$22,959.08
10145|"Hunter"|"Hartman"|"Ap #386-2621 Cubilia Rd."|"Caloundra"|"QLD"|4551|"theft"|"03/23/2015"|$19,490.58
10157|"Edan"|"Mueller"|"3419 Libero. Road"|"Dandenong"|"VIC"|3175|"breakage"|05/05/15|$41,298.60
10169|"Tucker"|"Mclean"|"805-5118 Est St."|"Gladstone"|"QLD"|4680|"mud"|04/03/15|$35,926.67
10181|"Armand"|"Donaldson"|"P.O. Box 877, 9310 Nunc. Av."|"Wollongong"|"NSW"|2500|"hail"|12/02/15|$31,014.63
10193|"Hashim"|"Mccarty"|"361-8946 Molestie Rd."|"Sale"|"VIC"|3850|"theft"|"04/23/2016"|$7,057.58
10205|"Matthew"|"Wise"|"8192 Phasellus St."|"Victor Harbor"|"SA"|5211|"breakage"|03/08/16|$21,039.94
